id,csa2010,mortgage,rent,completion,dropout,income,market,sold,naics,sectors,arts,under50,tested06,homes,grade5,grade8,grade12,jobs,part1,absent5,absent8,absent12,birthweight,term,prenatal,business1,business2,business4,lead06,commercial5k,travel14,travel29,travel44,travel45,outsidecity,weatherized,earning40k,earking60k,earning75k,earning25k,earning75kplus,black,hispanic,white,employed64,noinlabor64,unemployed64,nomail,math3,reading3,math5,reading5,math8,reading8,owner,work19,forclosure,properties5k,vacant,violations,algebra,stormdrain,alleys,teenpregnancy,artsbusiness,businesses,commercialproperties,employeesnaics,residential,unemployment,population,violentcrime
39,North Baltimore/Guilford/Homeland,28.54115154,51.73124485,96.2962963,0,73588.38,122,347500,17.5790197,307,0.515345854,397,239,151,262,88,120,4866,25.82455337,7.251908397,4.545454545,20,90.6779661,91.52542373,63.55932203,6.326034063,20.4379562,32.84671533,0,22.12765957,29.22539765,40.07500323,17.5093754,13.19022372,50.2,0,7.03,16.27,4.95,23.68,48.08,46.61354582,1.195219124,42.43027888,63.67041199,32.31558378,4.014004234,2.142372881,88.63636364,90.90909091,81.66666667,86.66666667,38.46153846,53.84615385,76.4,100,0.82,3.49,0,0.98,53.125,4.237288136,14.77324782,3.1225605,50,411,235,2594,5099,5.930470348,"17,464",3.149335776
40,Northwood,35.74244415,55.44615385,78.28571429,3.054448871,54758.78,96,138000,6.429129364,107,0.060085321,148,170,83,643,448,753,3369,39.89665325,9.175738725,13.39285714,28.68525896,84.04907975,85.88957055,58.28220859,13.37579618,32.48407643,43.94904459,0,11.11111111,16.60300484,36.92386045,23.91138273,22.56175197,53.5,0.51,19.15,16.57,15.53,18.56,30.19,96.11360239,0.448430493,1.195814649,58.19719117,34.02837489,7.774433935,3.434313137,85.71428571,91.59663866,81,90,31.81818182,50.75757576,84.2,95.85657371,2.06,1.39,0,0.96,25.97864769,4.14588716,34.24863306,15.625,5,157,63,1861,4670,11.78451178,"16,643",9.553566064
41,Oldtown/Middle East,51.94805195,41.8996295,67.01030928,3.58974359,15415.45,111,173750,41.99084668,367,0.457665904,448,171,48,738,322,585,23647,102.402746,16.53116531,29.50310559,47.17948718,87.17948718,87.82051282,53.84615385,7.789473684,26.94736842,43.57894737,0,24.375,26.88221709,33.30254042,16.8591224,22.95612009,51.4,2.39,10.84,11.58,6.02,60.62,10.94,96.91531127,0.504767246,0.785193494,39.34717048,50.29270889,10.36012063,4.578438148,73.91304348,63.76811594,69.85294118,72.05882353,19.44444444,37.96296296,41,79.59770115,1.9,4.92,40,4.92,17.90393013,11.78489703,65.44622426,74.18397626,14,475,480,10872,1423,20.84225553,"10,021",27.80320366
42,Orangeville/East Highlandtown,47.78037383,49.31417374,72.05882353,4.181184669,38987.53,108,84000,33.95027927,310,0.43806812,520,0,107,448,262,287,14437,85.86135144,10.49107143,21.3740458,42.5087108,91.01123596,87.64044944,40.4494382,6.50994575,18.80650995,32.73056058,0,15.5088853,15.59477756,37.66924565,27.53868472,19.19729207,58.7,0.09,22.3,18.94,11.25,32.21,15.3,25.11332729,34.63281958,36.17407072,69.54697987,23.80872483,6.644295302,9.115795237,85.29411765,67.64705882,87.5,79.16666667,43.90243902,41.46341463,56.9,78.48484848,1.77,1.48,1,1.11,33.09352518,11.38977111,109.0789618,106.0606061,55,553,619,6662,3505,8.720546135,"9,131",20.37016756
43,Patterson Park North & East,36.46125117,55.67970205,70.73170732,4.173106646,48889.47,102,189950,10.92858616,159,0.206199739,200,410,424,930,506,647,736,75.67530414,10.43010753,21.54150198,46.05873261,91.85667752,89.57654723,50.81433225,8.292682927,18.53658537,39.51219512,3.414634146,7.407407407,22.31075697,39.66356795,22.9747676,15.05090748,51.7,0.03,13.46,20.34,10.37,28.92,26.91,74.52200978,14.85104491,7.514450867,65.58356676,24.72455649,9.691876751,13.52056476,79.28994083,75.14792899,83.56164384,86.98630137,32.19512195,49.75609756,48.8,84.59051724,2.92,4.87,5,2.21,25.25951557,10.65365317,392.3293697,87.06467662,30,205,162,763,6342,12.87521707,"14,549",17.45824455
44,Penn North/Reservoir Hill,47.82608696,57.20236029,72.72727273,5.324459235,27874.43,101,44000,18.61812164,180,0.413736036,238,88,117,597,338,601,1863,64.23251965,10.72026801,17.4556213,43.92678869,84.28571429,79.28571429,54.28571429,6.504065041,16.66666667,30.08130081,0,6.896551724,13.24977619,35.48194569,25.4252462,25.84303193,49.9,0.2,20.42,13.36,9.42,43.91,12.9,97.67580453,0.238379023,0.774731824,47.10254646,38.01789401,14.87955953,15.87748967,75.20661157,70.24793388,61.11111111,91.11111111,27.36842105,49.47368421,39.2,68.27852998,2.82,3.8,16,8.1,18.14671815,4.447662391,84.19528341,47.05882353,85,246,145,1322,2976,24.00621808,"9,668",18.82498966
45,Pimlico/Arlington/Hilltop,42.96388543,55.72597137,80.37974684,5.685618729,28815.03,80,48094,25.30467163,299,0.253893026,349,0,72,821,465,714,6491,58.05687204,13.27649208,13.11827957,45.09803922,84.7133758,83.43949045,50.95541401,7.222222222,23.88888889,34.72222222,0,22.70531401,13.67788462,37.74038462,25.55288462,23.02884615,55.7,0.7,19.56,17.7,4.56,44.8,13.39,98.4141791,0.326492537,0.279850746,55.350788,34.74834774,9.90086426,9.960159363,77.69784173,71.94244604,55.48780488,81.09756098,24.83660131,54.24836601,56.1,92.79854148,2.29,1.71,13,4.32,25.78796562,4.062288422,79.04536222,63.7254902,7,360,207,3796,3980,15.17335411,"11,816",23.44278944
46,Poppleton/The Terraces/Hollins Market,30.5019305,55.59465165,75,5.248868778,22050.03,115.5,48000,21.62799843,110,0.78647267,145,88,41,411,236,299,896,80.22021235,14.11192214,21.18644068,50.16722408,84.93150685,89.04109589,53.42465753,12.75167785,30.20134228,40.93959732,0,9.012875536,35.56886228,22.21556886,20.2994012,21.91616766,49,0.15,13.18,9.04,4.68,57.72,15.39,95.86935639,0.480307397,2.017291066,55.79710145,37.36609956,6.836798992,11.23215627,73.17073171,65.85365854,68.65671642,86.56716418,19.23076923,50,33.4,90.47619048,3,2.63,19,7.17,25.6097561,3.14589068,57.01926858,65.47619048,21,149,233,831,1367,10.91549296,"5,086",26.54345262
47,Sandtown-Winchester/Harlem Park,37.6371308,56.3300566,75.49019608,6.578947368,23974.12,90,12886,13.35929108,199,0.067132116,238,203,107,1184,617,1105,966,69.48174006,13.68243243,18.31442464,41.90045249,86.80851064,80.42553191,58.29787234,11.78861789,23.57723577,33.7398374,6.896551724,14.21052632,11.23547137,34.22298752,24.40809298,30.13344813,51.3,0.33,20.26,13.91,7.38,51.59,6.87,98.30508475,0.062774639,0.596359071,48.35844726,39.49705618,12.14449656,11.90764023,71.15384615,65.38461538,58.76777251,75.35545024,22.27722772,39.6039604,33,73.54965585,1.6,1.63,31,10.48,22.84382284,5.236305048,157.6933405,69.84126984,4,246,190,1017,6076,20.07257133,"14,896",27.05424275
48,South Baltimore,37.59942155,44.51145959,87.5,2.928870293,69812.66,82,250500,13.6801368,152,0.2700027,227,121,186,132,55,76,5380,35.5503555,15.90909091,27.27272727,42.10526316,95.14563107,97.08737864,71.84466019,8.196721311,17.62295082,32.78688525,0,25.89641434,31.40547264,40.14303483,14.11691542,14.33457711,57.7,0.03,12,20.21,13.37,13.52,40.89,11.03896104,3.896103896,78.8961039,76.65228253,17.37451737,5.973200091,4.217725848,100,94.44444444,81.81818182,86.36363636,45,75,71.1,47.91666667,1.42,5.99,1,0.24,54.83870968,5.400054001,15.8401584,0,42,244,251,2357,3307,7.229246839,"6,406",2.9700297
49,Southeastern,42.33668342,62.17228464,81.39534884,4.952830189,30506.03,86.5,79000,28.75399361,180,0.798722045,353,202,49,362,192,239,10673,57.82747604,6.906077348,10.41666667,33.89121339,83.01886792,83.01886792,50.94339623,6.958762887,17.78350515,32.21649485,0,10.95571096,17.87459283,39.94299674,18.0781759,24.10423453,59.6,0,22.76,12.61,6.08,48.6,9.94,53.95513577,22.19598583,18.6540732,61.67378738,34.15431013,4.171902488,4.961294863,79.41176471,58.82352941,88.13559322,86.44067797,53.57142857,73.21428571,69.2,85.42510121,1.63,2.01,1,0.71,21.92982456,10.22364217,27.95527157,67.96116505,18,388,429,2783,1841,6.335877863,"6,260",10.7028754
50,Southern Park Heights,41.8236624,45.94227504,81.3253012,5.89254766,29357.24,82,21000,11.06594399,147,0,196,0,107,854,482,848,1190,59.54531768,14.4028103,14.52282158,47.05188679,87.73584906,85.37735849,52.35849057,9.359605911,21.18226601,36.45320197,0,6.703910615,19.25958572,26.22300573,28.20625826,26.31115029,55.2,1.31,16.47,20.29,8.4,43.53,11.32,97.8343949,0.467091295,0.33970276,50.84985836,37.06689911,12.08324254,11.8902439,80.86419753,76.54320988,51.2,76,33.78378378,52.02702703,48.3,87.34891217,1.93,2.23,18,8.35,24.03560831,2.559470039,77.91327913,78.2122905,,203,179,890,4037,19.2001385,"13,284",18.74435411
51,Southwest Baltimore,41.94373402,54.45259298,71.71717172,2.991452991,28513.85,88.5,22500,18.11573945,324,0.111825552,443,506,187,1663,813,1154,2959,79.34022924,14.91280818,20.04920049,43.58752166,87.02531646,85.75949367,50,9.292035398,20.57522124,33.40707965,5.335968379,3,14.83608076,33.5988146,27.80144471,23.76365994,56.9,0.4,22.98,17.18,5.66,43.8,10.37,86.10970036,2.285424073,9.116302692,48.66654892,35.24373013,16.08972095,14.67471922,71.06918239,68.86792453,74.72118959,80.29739777,22.22222222,42.46031746,29.4,84.73214286,2.51,1.65,25,7.89,21.8503937,5.423539279,253.5644395,82.35294118,8,452,700,2564,8243,24.84658394,"17,885",28.79507968
52,The Waverlies,37.89991797,62.55172414,75.58139535,2.991452991,34787.35,97.5,84950,14.70398555,114,0,163,100,74,465,284,468,2955,70.55333419,10.53763441,13.02816901,39.74358974,83.76068376,82.05128205,55.55555556,4.705882353,18.23529412,33.52941176,0,6.395348837,11.54672395,39.5273899,25.64446831,23.28141783,47.8,0.19,20.03,15.83,8.55,38.2,17.39,95.09202454,1.380368098,1.610429448,68.8857496,22.05544764,9.058802755,6.386508156,81.70731707,81.70731707,60.56338028,71.83098592,23.75,51.25,63.5,96.60574413,2.27,2.38,3,3.97,20.52631579,8.125886754,84.22546111,53.57142857,,170,172,858,2692,11.62211146,"7,753",18.44447311
53,Upton/Druid Heights,49.12280702,57.3012939,76.19047619,3.639240506,13811.24,117,20100,16.99598125,203,0.083724046,301,85,61,911,309,632,6405,65.22103148,8.34248079,22.33009709,49.84177215,88.30409357,88.30409357,60.81871345,9.872611465,19.74522293,28.34394904,0,7.619047619,18.31044528,31.41905951,20.97378277,29.29671244,50.1,0.23,13.57,10.84,3.52,66.53,5.53,98.3463035,0.097276265,0.243190661,39.34972244,49.80174465,10.84853291,11.59395973,70.93023256,64.53488372,64.47368421,69.07894737,13.63636364,38.63636364,32.4,73.85714286,2.48,5,35,11.34,18.93939394,2.009377093,52.07635633,97.36842105,2,314,315,1151,2179,21.61137441,"10,342",27.29403885
54,Washington Village/Pigtown,41.94669757,48.82352941,77.41935484,8.11965812,47178.46,99.5,70000,33.25458841,183,0.726876249,320,0,109,294,172,234,5900,123.9324005,12.58503401,16.86046512,39.31623932,92.92929293,84.84848485,65.65656566,8,14.85714286,28.28571429,0,14.61988304,24.41368704,37.60092272,13.45636294,24.5290273,57.3,0.15,15.79,21.79,9.79,28.48,24.15,75.69269521,1.133501259,18.89168766,64.52157146,28.82622319,6.652205351,12.50425894,69.64285714,60.71428571,76.59574468,78.72340426,16,52,46.5,72.08480565,2.58,3.96,9,2.69,19.79166667,6.723605306,193.1673633,69.76744186,57,350,342,1619,2752,9.346427362,"5,503",25.44066873
55,Westport/Mount Winans/Lakeland,39.35558113,52.84697509,80.51948052,3.644646925,40959.4,103,62250,20.64896755,147,0.421407501,229,208,53,499,300,439,2371,78.52226436,13.62725451,18,38.95216401,92.56198347,86.7768595,47.10743802,11.33603239,20.64777328,33.19838057,0,13.43873518,15.49515776,40.70602937,24.64854733,19.15026554,64.5,9.37,18.29,12.6,11.55,33.97,23.59,82.36623964,9.947249435,6.254709872,63.27627389,26.21417197,10.50955414,6.629653821,88.04347826,85.86956522,88.88888889,81.94444444,36,53,55.8,77.31755424,2.47,1.77,8,3.45,30.05780347,1.545160837,67.284731,64.88549618,73,247,253,1747,2146,14.24332344,"7,119",19.52521422
